speaker_tag	text	sentiment_score
1	Yes, so just know get soaked. Yes. Welcome to the oh, yes podcast. We got our boy Mike listen day in the crib. We've known Mike for a very long time. Mike is a manager to the Stars. If you will to the Trap Gods the world made of the Trap God. There's artists like effing company Mike. Asante Incorporated, yeah, what's up, man? How's your day going?	
2	Pretty good. Just kind of in between, you know, Coachella dates. You're in LA in between.	
1	So yeah, so you were when we met you you were you were an artist actually. Yeah, right. So I think one thing that's interesting that you told me and like I like you like explain what you meant by it. But like you were doing the artist thing you guys were you had traction like when we met you guys had some good traction. You had a good Agent you releasing on the right labels, you had the good remixes, but you told me A one-day you like kind of looked at the project from a manager side and you were like, I don't know that I would sign myself. Hmm that was kind of the deciding factor for you to be like, I think I'm gonna like go into the business side of things and like stopping an artist because I don't know that I would sign myself and I found it. So interesting that you were able to look at it from an outside perspective like that because I don't think a lot of people could what did you like? What like struck that chord where you were like? Oh like I don't I don't know that I would sign my think.	
2	It's a it's a lot of is a lot of factors, but I think You know after you know, you know working on, you know, various radio shows and you know working, you know day job in it at like, you know, like record labels and stuff. I think it just came to a point to where I Knew Too Much maybe at the level. I was at not not like a like a horn tooting sort of thing, but it was just kind of like shit like I you know, I don't know, you know, I remember I had this moment where I kind of read. Realized what it took to become like a top career artist and I didn't enjoy producing music enough to like be stacking, you know, 10 ready always be sitting on like, you know, huge Bank of music. Yeah, right and you know, yeah, I think that's I mean, I love making music I you know, I like helping my guys out where they need it, you know for like Sonic notes and stuff, but you know stacking that much content all the time like you really gotta love it. Yeah you	
1	Really? I when I we met you it was clear that you and you you produce music and you were really good at producing music but you got more a kick out of the business side of music, you know, and I feel like like a lot of artists, you know, like I personally like the business side like I love making music but something about the business side of Music gets me fucking riled up. You know what I mean? Like I just like I just like it's an exciting Adventure sure compared to like making it was I like making it too but when it's done We get to start planning. That's like my favorite part.	
2	Yeah, you know, but you know, you're also the the face of a project that you know, a lot of people including yourself would sign as a manager, you know what I mean? So I was a you know, I just took a really realistic standpoint of the project I had and I was like shit, I don't know.	
1	Yeah, like that's it that that's a hard thing to do like kind of take yourself out of the situation by putting yourself on the out like looking into it. You know what I mean, which is it's crazy that you were able to do that. That good good. Yeah, very good advice for sure. You pick up time. Tynan's your first what you got Izzy. I remember is he is he had some traction we did a song with easy actually. Yeah, and he was going good and I feel like he I feel like he just didn't want to continue down this path or like what happened there.	
2	You know. I mean, I think a lot of it just comes down to like how much you need to be, you know, like really active on social media and stuff and there, you know in the beginning it's cool, but after a while, you know you It's really a full-time gig, you know, and so I don't know that's really kind of some people hate it and some people really don't like social media. I mean, he's a great producer like, you know, we still you know produce him for a lot of people, you know a good friend, but he's not, you know, like a full like a full-time client environment.	
1	So you pick up tying and tynan's like starts kind of pop in on this thing and then so you use that to like well this was so tight other artists or like how does it how do you grow your rosters was the beginning of the partnership?	
2	So tie in and started to make some moves you You know and then I start having conversations with company.	
