speaker_tag	text	sentiment_score
3	Hey everybody. This is how you are. I just want to talk to you a little bit today about some happen to me the other day and they've asked me if I tell you about it just because it kind of changed my life. I think it'll change your life. It changed his life changed my aunts life changed everybody's life. So I was down at My Cousin Skeeter shop. But today I walked in there and I was trying to steal couple parts because my Ford ain't working right and Skeeter walk in he didn't know I was doing two skaters kind of stupid and he was like, hey bud. I got something I need to tell you want to take a seat right there. Tie a seat right there. He said I want to tell you about something that I found out they if you haven't heard about it. I think it's wrapped right time. You did. He says it's called anchor and it's the easiest way imaginable to make podcast and I was like, well, that's like Skeeter. All right. Well, I'm you got my you have my curiosity got my attention. But so he said well, let me talk to you about it. He said it's free. There's creation tools on it. They allow you to record. Edit your podcast right from your phone or your computer and it will distribute your podcast for you. So it can be heard on Spotify on a podcast many other things many more many more platforms. You can make money from podcast no minimum listenership. It's everything you need to make podcast in one place. And I started thinking about it and I ain't never heard Skeeter say none of these words before so obviously it took to him pretty well.	
1	It must be pretty important to him.	
3	So I just want to come on here and tell you that you should download anchor today and you know, just just do with it what you want to do man. Just just have a good time with it. My cousin skaters making a podcast now and he just is just having time with life with it. And you know, I keep stealing his Parts but he's making money from anchor and it kind of offsets it all so he can keep Even and he can feed his kids and family and all that stuff right there. So it's a download anchor Today and and maybe maybe you can be you know the next Skeeter. I don't know.	
2	Following total Atomic Annihilation the rebuilding of this great nation of ours may fall to you. That's why we here at fault boys. WB will take you on an orator of the beautiful state of West Virginia. There's no other place to be better prepared for the impending fall out. Now we go live to our team of experts.	
1	Hello and welcome to Vault boys WV a mutated podcast crossbreeding our shared history and Appalachia post-apocalyptic State and fall. 76 I'm Your Country Road scholar Dave chaffins and joining me is my favorite son of a moth man. Austin O'Connor. How you doing, Austin?	
3	What's up? What's going on man?	
1	Nothing much. We went on our mandate this past week that we did we did that we did solve interest in game. No spoilers. We're not going to spoil anything. I don't want to I would only want to talk about it just because I don't even really get into like Game of Thrones either because we had a whole tangent last time. I'm and I know right before this podcast we talked for about 25 minutes about Game of Thrones. So I've got her I've gotten you I've gotten that out of your out of your system good. Oh, that's good. It's a good talk Boba Fett kills Commander Shepard.	
3	I yelped Yelps like five times during the episode like horribly. My living room alone yelped.	
1	What what restaurants were you reviewing?	
3	Hi. I howled I hollered I screamed you wolf. Yeah, I whooped whoopty whoop.	
