speaker_tag	text	sentiment_score
1	Where did your parents come from both my parents immigrated from Iran to study my dad came to California and my mom went to New York. What about you Chloe? My dad went to school in France and my mom. Went to school in California from Guam. You're listening to the Daily brew from the Stanford daily. This is Chloe brow idly res Bonnie in this episode. We discussed the unique perspectives International students bring to campus culture and the hardships they may face during their time here. Turn left on Palm Drive in 500 feet. Turn right on campus Robin.	
3	You will reach Bechtel International Center and I'm from Calgary Alberta Canada the beautiful country by the side of the aisle also known as Egypt from Germany Massey Ghana, although I was born in India. I am from Ghana from Vancouver. I don't know where I'm from.	
1	I lived in New Jersey for 10 years. And then for the past eight years. I've been in Shanghai. I'm fine.	
3	Recife Brazil two and a half hours by plane probably about 18 to 19 hours 13 hours from across to New York and then like five hours from New York to SF every single time. I go through airport security. I'm always picked for a random check pat down. So I'd like that those are things which I've just gotten used to 24 hours total probably around 15 to 16 hours 19 hours. And that's the fastest if I go for the cheapest option late takes me about 37 hours hours. I was excited scared wondering yeah, it was surreal Nostalgia to an extent.	
1	It's very rare that I'm homesick.	
3	So don't just like kind of confused because I'm like what sequence of events like led me here. Sometimes I get into like really really rambling Like Trains of thought where I'm like, oh, you know, like what am I even doing at Stanford? Like I'm making the most of my time here like, oh like am I doing the things that I should be or whatever this is my reality now, it's almost as if I'm commuting back and forth between home and school. The definition of home itself has been like split now even between like the university which is like where I live most of the time but it's like not necessarily really home and like back home, which is like my parents are there but then all the friends are gone. So it's like not like it just doesn't feel right either but Ike gets into Spring quarter. Yeah, like yes, I believe yeah, but like now it's like it's fine, but I will get 26	
1	For international students arriving at Stanford marks the end of a long journey, but it also signifies the beginning of a new culturally immersive experience whether it be differences in with side of the road people drive on or how people greet each other International students across campus experience Stanford through a unique lens.	
3	It's hard to even like Define an American culture.	
1	This is so hit and he is a freshman from Singapore. But when asked about where he considers home he says,	
3	I mean homes also hard to Define for me. I was born in the UK. My parents are Indian within those in Singapore. So then coming here at least the UK in Singapore somewhat similar, but coming here everything.	
1	So for me, like what does he mean by everything is different.	
3	He said with the plugs and like the waters their fur and the water is just the waters harder here. He also compared Singapore to sunny California Honestly, though weirdest and spent the whether it's just cold.	
1	Old you're not wait, the weather is cold. When I think of California the description cold usually doesn't come to mind. But when I check my weather app, I realize so hit is right right now. It is 90 degrees Fahrenheit in Singapore 32 degrees Celsius for my fellow Internationals and the weather right now in Palo Alto. It's 70 degrees Fahrenheit or 21 degrees Celsius. I could see how so hit could feel a bit chilly.	
3	Never going to hold out for like the last 10 years go out without a sweater like three hours later.	
1	And then it's freezing another experience faced by International students are differences in drinking cultures with stricter drinking laws than many other nations drinking culture can appear intense care because in Singapore alcoholism like a taboo, you just drank.	
3	Yeah, we're going to see people being transported.	
1	All right, but differences in social culture extend beyond drinking it can even be seen in everyday conversations.	
3	And people are much more verbal here. They speak their opinion much louder than like Asian countries. We speak to each other but like it wasn't people weren't as direct people were much more polite software for flights also the word it was just like a very respectful even within the storm. Everyone's American visibly people are so different. It's not like in Singapore you have Going for it and they were very similar to each other. So in the smallest things are really weird. So it's just like everything's different.	
