speaker_tag	text	sentiment_score
3	All right, Brian, we're good. We're good to go right now. What's up, man? Not much man. Well, welcome to the dark Waters is this is the I guess the first one that I've done so far.	
1	Very cool. Very cool. I dig it. Yeah second podcast kicking off. Yeah and chatting again a little both of them.	
3	It means I like you.	
1	Hey, at least you're not calling me, you know four letter words, so we're good. It's cool, man. I dig it man. You been you been keeping busy.	
3	Yeah, dude, stay busy podcast man. Like I like talking to people and I figure if I just do one we can do to sure that gets most of the guess. I was having on my other podcast for Anglers. Anyway since like eventually my my my listeners on that side. I get tired of the same type of you know, guess or not get sick of it, but you know, yeah. Yeah, so it's nice to have something else that I could put	
1	People on and talk to you about some of the things I just like to talk about sure. Sure. I dig it.	
3	All right. Well, let's just go ahead we've done before just do an intro tell me who you are. What's going on? Just just brief to the point.	
1	Yeah, man, Brian Schiller Avid angle Paddle and fin podcast fishing tournaments. I like talking fishing just as much as you so yeah, I don't know.	
3	So I'm a big fan of paddle thing, which is what you know your podcast you've been doing for about two years now, I think yeah, it's like a year and a half probably a little more.	
1	It was a year in July. So yeah. Like a year and a half in some other start listening to the Yankees.	
3	That's just the time where I was only a lesion team and you were on it. And you were I guess you're trying to some content for them as well. That's kind of weird about your your your podcast and I've been a fan ever since.	
1	Yeah. We're in the Elysian t-shirt go figure. Yeah, man, you know, we just started off kind of is like fun, you know me and the guy that originally started it we call them we dubbed him The Godfather. He's no longer part of it, but him and I were both fans of podcasts. Just kind of got in the kayak fishing and always been longtime fisherman and we're like we were struggling finding information. So we figured hey this could be a cool way to help folks out that are in the same position as us and then that has now spiraled in I think we started out we were doing it like every three weeks and we went every two weeks then we went every week and now we have six different shows that run 5 Is a week and occasional bonus episode 6, you know for the Six-Day how do you know all your presents to all of them?	
3	But yeah, you got one two, three, four five six. There's like nine of us. Okay. I'm not and so are you like the ringmaster that Cirque is it kind of your circus? And those people are all your you know, so your monkeys.	
1	Yeah, you know, I like I told everybody man like I don't look at it as I'm the boss. - however, I'm kind of looked at as of the boss or the ringleader that term has been used several times before but you know, I the way we look at it, you know when we started and all these show segments we started calling it the paddle and fin podcast Network. So, you know, it's a bunch of people with the same kind of like minded. Thinking that all kind of collaborate together. However, yeah, I'm kind of the driving force. You know, I'm the guy that does all the editing uploading stuff like that. I mean a couple of guys help out with that a little bit, you know, we got Brad Hicks in a couple other guys that are starting to do like their own little YouTube videos. So we're throwing that on the channel. So I mean, it's always been derived about just like kind of getting information out there, but But yeah, I mean, it's tough man. Like I don't know what the hell I was thinking when we got into it. You know, like when I was like, oh, let's add another segment. Well, let's add another one and I know Jay who's you know, took over for the Godfather's spot? He was like you sure you want to do this dude, like well, yeah, why the hell not?	
3	Yeah and but it's not your advice to me. So yeah.	
1	Yeah, I mean, you know At first it was a little rocky just like trying to figure out a structure and and how everything was going to work out. But I think we kind of got that dialed in and you know, my theory is always been the more content the better right, you know, and it could even be about the same subject. But from somebody else's point of view on like a different show segment that definitely changes it up a little bit and it adds a little Flair to it. So it's cool. You know, I mean, I dig it. I know everybody else is having a lot of fun with it, you know, it's opened up some doors for for everybody on the on the crew that may not have necessarily had that opportunity so to speak so it's cool. Yeah. I mean, I don't know we're kicking butt.	
3	I mean it's obviously put out so much content. Sometimes I get lost and were so that that	
