speaker_tag	text	sentiment_score
2	Hello, beautiful tribe his podcast is sponsored by you. Vita thousands of years ago before modern medicine proved scientific evidence from Mind and Body Connection the sages of India developed ayurveda, which continues to be one of the most sophisticated powerful mind and body Health Systems up to date and I can begin to tell you tribe that it's about putting the power back in your hands and the company that's helping you do that. Is you Vita. I've been on your Vita for a couple months now so that I can have A healthy gut and be able to clear my gut and be able to have the best digestive system that I can have because healing your gut allows the body to build a stronger immune system and produce the right kind of bacterias that tells your brain that it's okay to feel good. And as everyone knows I'm the shaman who likes to stay lit and make sure the tribe is lit all day long and so it's important for us to feel good in our bodies and it's important for us to live a very healthy life you Vita is a company that is doing that they are. seeing the knowledge and understanding of ayurveda in their company wild harvested and organically grown herbs that they synergistically create in an ayurvedic way to be able to give you what you need for your body to sustain Health wellness and vitality everything that they have in their company is based in Integrity, ethically sourced from natives who practice sustainability and I can't begin to tell you how happy I am to share this with you and to have them be one of the sponsors for ancient wisdom Today podcast their let's offer everything from immunity to healthy joints into healthy mood and healthy digestion and a healthy body. What more can you ask for from a company that is bringing ayurvedic understanding to the Western World in a way that is supporting us and lifting us and shifting us into the greater possibilities of who we are so I welcome you to experience your Vita you can even contact them by going to their website, which is www.hyken.com and you make your first order. In the word Shaman, which is there a code for the ancient wisdom Today podcast tribe and you will get 35% off on your order for your first order of you Vita, but I'm telling you the moment you start taking this product. You're going to see dramatic change in your body and the way you feel and that is the best and as the tribe knows I'm all about putting the power back in your hands. So go ahead and check out your Vita and use my code Shaman and until then. Live healthy always and every day in your life. Love you. Human beings have been sharing stories for hundreds of thousands of years. And with those stories can the emotional spiritual and physical knowledge of the Ancients Shaman Derek is a third-generation Shaman an evolutionary innovator and a women's empowerment leader. He's here to bring forth the ancient wisdom of our elders to help heal and bring happiness into a modern society. We're sharing ancient knowledge in modern times in order to put the power back in people's hands. Welcome to the tribe.	
1	Hello, beautiful tribe and welcome to ancient wisdom Today podcast. I love you so much. It is so wonderful to love all of you all over the world. Some of you I've met you come to some of my fans and my my meet and greets and have come into to learn Shamanism and about your own self and what your own power and some of you haven't and I've seen you in the dream world. And you know, it doesn't matter. If you haven't met we haven't met in person. I'd want you to know I love you and we are connected and if you are here part of this tribe, we were definitely connected in heaven and will be in the many lives to come and also here on Earth as well. So I want you to know that I love you and I appreciate you and I acknowledge you and I'm thankful. Well for you and being on this planet and incarnating at this time in our Evolution because right now we are about to set the roof on fire and take it to a whole nother plane of Consciousness because what we are doing is forging new thinking into the minds of human beings by not tolerating lower. For thinking in our friends and our family and our loved ones and in people in general, I mean just the other day, you know, I was at GameStop and I was getting this video game for my nephew and the woman behind the counter, you know, she was saying that she wasn't so smart. She was so dumb and I said nah, I'm sorry. I just I will not sit here in front of the presence of a child of God a powerful. Being if you believe God or not and listen to you speak against yourself in incorrect way. You are powerful and smart. Do you believe that? She said well, sometimes I said, no I said claim it now right now claim it because it's never a sometimes and it's never a maybe and even when I say that I get emotional saying that because it's never a son times and it's never a maybe. And I'm so so sorry that you had to go through an idea in your mind from something that happened to you that you would ever think. It's sometimes or maybe are not at all. You know, I was just talking to my friend today was very emotional conversation. I think you've heard me talk about it before no my me I get emotional at times but it's good as according to Danielle page me getting in feeling these emotions are really good and she was talking to a friend of mine and he you know, he was touching story with me. I don't know if you if you listen to the episode that I did on signs about, you know, being able to pay attention to science it is The mic swaggered such a beautiful soul totem long time ago. Don't go to go camping with my friend don't go off the grid with my friend because it was going to be a horrible death and it was going to change his life forever and he's going to end up in tattoos and end up in prison and so forth. And so, you know, he called me today from prison. I accepted his his call from prison. You know, he had said to me the last time he saw me when he was not in prison when he got out on parole. I went to go visit him and he was staying at this motel with this girl friend of his and his kind of, you know, just catching up and he was doing some rap songs and he was performing them and saying them to me and sharing them with me and you know, and I said well now that you're out, you know, what are you doing with your life then he said, you know. I'm working for a construction company and I'm doing you know odd jobs here and there and so forth. And so I said that's great as if you ever need anything financially or whatever. It may be I'm there for you a hundred percent and I love you and he goes I love you too. And he goes, you know, I wish I would have listened to you when you told me not to take that trip. You're right. I did end up in prison and I did lose my mind and everything, you know, and I said, yes, I just just listen to me and you know, and I'll guide you but you have to listen to me, you know. Because I was pythia in my other life time. I was the Oracle of Delphi. I see things very clearly and you know, he wouldn't talk for a while and then one day I was at home and I was doing things and I was out and about and I was going to pick up some things for a friend and I just stopped in the middle of the street and like grabbed my phone and called him and was like, are you okay? Something's wrong. Are you? Okay? And he said yeah. No, I'm fine. Everything's fine. Everything's fine. he told me today that it you know, when I asked him if he was okay, he was actually in the middle of about to perform an armed robbery and he said that I knew he's like you knew that I was going to do it and you called me and you checked on me and I wasn't being honest and he's like and he's like why didn't I be honest I could have just told you the truth, you know and And he didn't he didn't tell me the truth and it's unfortunate because it ended him going back to prison and now he has a longer sentence. He has 12 years now and you know, I think about a lot on how we are as human beings and I was telling him, you know, I'm working out a program with his prison to be able to go there and offer. Versus to do workshops for the inmates and so forth. So I'm in conversation about that and that really makes me happy. But the thing is, you know, they wouldn't be these types of situations in life. And that's what I was thinking about today. That's why I got emotional a second ago because there wouldn't be these types of situations if we were in a system that supported us to see See the greatest potential of who we can become and who we are. I mean, there's so many people on this planet who don't even love themself or see how beautiful they are how smart they are intelligent creative. They are how loved they are. There's so many people on this planet who don't even hold strong to them saying they're smart or that things come to them easily or that life can happen for them. You know, they'll II mean just the other day. I was on my Instagram and person wrote, you know, my Instagram you go to my Instagram page. I have little boxes that I do and then I after that I put like a neon light word in neon light because I love bright things. I love bright colors. I think that's my ET nature like things that glow and brighten the luminescent colors and so forth and you know, one of the ones that I put up was winning and someone wrote, you know, will not never winning, you know. And it's the idea of saying I never I never is such a long time.	
3	It's like eternity.	
1	It's like we have to really pay attention to what we are putting into the universe what we're putting into life. What are we saying? You know, I'll never I'll never you know, or like, you know, things don't happen for I mean like you're basically saying this is my reality and I'm accepting it and I'm claiming it and this is the whole thing as I was thinking about my friend Mike because thinking wow, you know, he probably had in his mind the same exact thing and that's what led him down that path and how many other people on our planet are in that same predicament people who are you know, alcoholics or people who have just gotten to a place where they just keep, you know sabotaging. Every opportunity that comes their way are people who are you know constantly having poverty Consciousness in scarcity Consciousness where they every time money comes at leaves and every time they get ahead they fall down and you know something they build something and then someone comes and tears it away or rips it away and it's all because of the way we interact with our power with ourselves our power. I loves our power is so important. It and you got to start with your children. You got to start with your children. I mean, you got it. Like I saw my nieces and nephew there visiting the visiting for Guadalajara and I saw my and they said Tio Tio we love you so much and I said, I love you too. And you're so smart and you're so beautiful and you're intelligent and you make anything happen and beautiful things are always showing up for you and you're so you're so healthy and you have such vibrancy in you and so much full of light and so much creativity. Cavity and you know one of my friends you know, she she heard me and she looked at me she said oh my God, I love that you do that for the children.	
3	I said, why wouldn't I we have to start now we have to make sure that their fortified that they are is not one ounce of Doubt of how wonderful they are.	
1	How beautiful they are how smart they are. How capable they are. Psychic they are how in tune they are how everything we have to find every word that we can use because every word is a building block of foundation that will either launch them to see the power and creativity that they have and the in the divineness that they are or it will not and and we're never too old.	
3	Okay, like we're not too old to start with ourselves now.	
1	I mean, I grew up I didn't have that I can tell you right now. I got you're an idiot. You're stupid. You're never going to amount to anything and people aren't going to like you because the color of your skin people hate black people. You know, I got I was told that I was people called me, you know gay because I was feminine even though it was not you know, but if he's like, you know every single thing, I mean, I wouldn't be surprised if you know a lot of those things that were being said were just there. Really strengthen me, you know and I mean they were there to strengthen me but I'm saying strengthen me in the sense of like being clear about who I am, right? And so, you know a lot of those things which in it took me a while to figure out especially, you know, when I was going through my training is to understand that like everything my stepmom would say to me. I mean, she even told me things like every time I wanted to do something she would say, oh they're going to laugh at you. Everyone's gonna laugh at you. They're gonna beat you up in there laugh at you and I remember seeing this movie Carrie and they kept the mother keep going on.	
3	They're gonna laugh at you. They gonna laugh at you. They're gonna laugh at you. Oh, they're gonna love you. Everyone's gonna laugh at you. You can't go you can't go.	
1	I was like, oh my god. Did my dad my stepmom stay up at night and watch that show and decide what she was going to say to me. Is she like plagiarizing this the scary movie this very Hora thick film that don't go watch it. It's not worth it. But the point is is that if I can almost like she was literally saying everything she could to take me to hell it was like every time she said something awake came on me and then another way and then another way and then another way and whereas you look like I was standing on the floor and I felt like my waist was in the floor, but my legs were in that getting pulled down the hell and I mean I literally was like more and more Darkness every time she would say it every time she would say it every time I Remember would say it, you know and I mean growing up with a Hawaiian Hawaiian Japanese Filipino family is not I mean, I don't know if you have Filipino families, but my family is one side of the family is Japanese and Hawaiian. The other side is from the Philippines. And when you have a Filipino family, first of all, let me explain to you. You are a servant in your home to a Filipino family. Like there's not a moment where I could sit and rest myself without my entities or my mom. My stepmom who's my mom right would say?	
