speaker_tag	text	sentiment_score
2	Have you ever thought about starting a podcast of your own just download the free anchor app? It's motherfucking. So motherfucking free this creation tools that allow you to record and edit your podcast right from your phone and computer it'll even distribute your podcast on Spotify Apple podcasts and more. You can even make money for her podcast is everything you need to make a motherfucking podcast in one place. So download the free anchor app or go to Anchor dot f m-- to get started.	
1	Peace.	
2	Welcome to the Daily shroom today. We're here with Johnny Pena. He was an ex narc a part of the K-9 unit and he was a deputy in San Jose California, but now he's a stand-up comedian. Oh, and he currently micro doses with psilocybin. Is there anything else you like to introduce yourself with? Johnny?	
1	No, I think that pretty much covers it. Yeah, I worked, you know as a narcotic age and I worked as a detective K9 which is a deputy sheriff and then that came to an end in 2013 and then I got into the world of tech. Look for a tech company now and then what type of that? Google I work for Google. Yeah.	
2	Oh, wow.	
1	Are you from from leaving 2013 to being a part of Google that's a little different, you know going from a very conservative type of field of work right working in law enforcement to working for a very liberal Progressive. I mean, I liked it. It was just it was it took it took a while to get used to, you know, I ended up in HR a lot. Because I frequently say what I what I'm thinking it just comes out and so you have to really be careful when you work in a in a in this type of environment because it can be deemed as you know being aggressive or or confrontational when really you're just expressing yourself, but I've learned to just keep my mouth shut and you know express myself in the gym.	
2	I said you think psychedelics help with that too. two	
1	You know that so, you know part of my issue is that I have post-traumatic stress syndrome. Yeah, I was involved in a shooting in 2005 and then when I was a deputy sheriff or also Deputy Corners, which means you deal with all the dead bodies that involve that includes kids, you know teenagers giving notice to parents and middle of the night to let them know that their kids are dead because of a car accident or or whatever it was, you know, just a lot of like traumatic stuff, you know, cry. I'm scenes murder-suicide crime scenes. We had a crime scene of like this mom, who was she had some mental disabilities and then she added up shooting her infant daughter. That was my crime scene. I to deal with it. And so after years of, you know a decade of just kind of push that stuff down and you don't you don't kind of let it bother you because if you let it you know fester and or if you just let it you know, come out the job will eat you alive like you literally start To like break down and you can't have that happen because you got to go right back to work again. You got to do it again the next day so you just kind of push it away and deal with it later or just don't deal with it and you know just drink drink it through it later, you know go to the bar and and have some beers. So quite frequently. Yes. I'm quite frankly. What ends up happening. Is that while you're dealing with these issues on the back end, you know on the front end you develop a dependency whether it's on alcohol or it's on and By depressants or it's on you know some other way it has to come out some other way for meals alcohol and then I'm just a very a-type personality. I'm very All or Nothing so, you know, I do a lot of working out I do a lot of like kickboxing and stuff like that. So I have to express myself in other ways. But the problem was that the alcohol kind of took over the healthy way. So I started drinking too much which eventually ended up costing me the job. So, you know once I left law enforcement, I still had all these issues I had to deal with you know, I had a deal with somebody dying because I got in the shooting and that always kind of bothered me and to deal with all these things that I had seen. So when I left I went back to started smoking marijuana again trying to curb that right got my medical card and it did help it did help at night. You know, I kind of just crash out. Out without having any dreams or anything like that.	
2	Yeah, man smoke weed everyday. It helps me with my PTSD and things like that.	
1	Yeah. Yeah. I mean it's great. But then there's that there has to be something that shuts off the images and the voices and stuff like period you know, and so when you go to the doctor, the first thing they want to do is they want to put you on sometimes I was like antidepressant or anti-anxiety or something like that, you know, because I have social anxiety. I don't like being And large crowds it makes me paranoid and so I got tired of like basically being a prisoner in my own house without I want to go do social stuff because I'm always worried that something's going to happen. I do I would worry that the people that I've sent to prison we're going to come out and maybe like come back afternoon lecture me because I put people in prison for you don't have to rely for even a lifetime sentence or 10 years this replaces that big the community is not that big they're going to run into me. It's all I was thinking like man. I'm going to running these people and so it would it would make me paranoid anywhere in Newark in San Jose.	
2	Right?	
1	I was in Mark 4 Department of Justice. So all throughout California. Okay. Yeah, and I mainly dealt with like methamphetamine trafficking that was like my that was my area of expertise cartel stuff methamphetamine trafficking in manufacturing and then anything related to games that was kind of that was like my Niche.	
2	Yeah. Big thing like arresting people for acid those type of things in the 10 years.	
1	That I did that job. I never once arrested somebody for weed. I mean I pull people over because they were driving Halo a slow and release their respective fighting Shake on my floor. Yeah, you know and I never ever I never even cited anybody for a weed. I mean I make him throw it out or something like that. But I smoked weed is a teenager. Like I really don't care about my thing was like the hard drugs the drugs that actually I could do like damage to you. So, you know, like methamphetamine and heroin stuff like that pills, especially but as far as like LSD shrooms, you know peyote anything like that. I'd never ever dealt with anybody on it, you know ever and if I did I didn't know it, you know, I I pulled over one guy one time you had like three mushrooms in his pocket and he was like, I'm going to go to prison for this. I'm like Or that he's like I got three mushrooms in my pocket. I'm like did I don't care if you have some she's in your pocket. I'm like just go like just go home. Don't be out here in the street, you know, like go home. I never thought of it as a big deal, you know to me it didn't seem like it was somebody at mushrooms. Does it seem like a danger to the community, you know?	
2	Yeah, they're really doing much.	
1	Yeah. They're just, you know, making snow angels on the lawn, you know at a park, you know. tip so I wanted to I did a lot of reading. I did a lot of reading on the John Hopkins studies and I started reading about some of the benefits that they're starting to find out like in psychedelics has looked at the MDMA studies. I look at the ketamine studies. I looked at the psilocybin the Ayahuasca studies and it all seemed like very intriguing to me and seemed like something that maybe I was interested in but All the problem is that when you're an ex narcotics agent. Nobody wants to sell you drugs. They just don't you know, right so finding even even people. I know I'm like, hey man, you know where I can get some shrooms in like are you sure you're not a cop anymore Mike? I'm not a cop anymore. That's where so it was it was a challenge, you know, it was it was a it was a challenge. So I	
2	so now you microdose.	
1	Yeah. So so what I ended up doing was I ended up just buying spores, you know, and and and then the grow kit and I just I grew my own and then I bought a dehydrator and I dehydrated them and then I just kind of like read a book was my crew those he was I listen to some podcasts with Paul Stanley it and and you know, I'm like trying to judge it. I the way I figured like for me, I'm a pretty I'm a pretty big guy. Also, I did the first time I did it I did it I think about maybe a quarter of a teaspoon of powder. I put in a coffee grinder and I just put it in my water and drink it and you can't really you don't really notice it too much. You know, my day seemed a little bit brighter. I was in a better mood I went to work and you know everything seemed okay. I didn't know. This that I could focus a little bit better on my work less Day Dreaming and thinking and so I did that for about I think about a week where I stay I did that and then little I started to notice little things. I'm a habitual nail-biter after about a week. I quit biting my nails like I'd get out of a nervous and nervous tic, I guess so I just I stopped. And I haven't done it really sense.	
2	So I do interesting how they could do those little habit changes. So you were saying Paul stamets. He said something about he used to look at the floor and that he doesn't look at the floor.	
